Francis Bacon;Three Studies of Lucian Freud (in 3 parts);11.12.2013;142,404,992
Edvard Munch;The Scream;05.02.2012;119,922,496
Pablo Picasso;Nude, Green Leaves and Bust;05.04.2010;106,482,496
Andy Warhol;Silver car crash (Double disaster) (in 2 parts);11.13.2013;105,445,000
Pablo Picasso;Garçon à la pipe;05.05.2004;104,168,000
Alberto Giacometti;L′homme qui marche I;02.03.2010;103,689,992
Alberto Giacometti;Chariot;11.04.2014;100,965,000
Pablo Picasso;Dora Maar au chat;05.03.2006;95,216,000
Gustav Klimt;Portrait of Adele Bloch-Bauer II;11.08.2006;87,936,000
Mark Rothko;Orange, Red, Yellow;05.08.2012;86,882,496
Francis Bacon;Triptych, 1976;05.14.2008;86,281,000
Barnett Newman;Black Fire I;05.13.2014;84,165,000
Vincent van Gogh;Portrait du Dr. Gachet;05.15.1990;82,500,000
Andy Warhol;Triple Elvis (Ferus Type);11.12.2014;81,925,000
Francis Bacon;Three Studies for a Portrait of John Edwards (in 3 parts)REPEAT j,SALE;05.13.2014;80,805,000
Claude Monet;Le bassin aux nymphéas;06.24.2008;80,549,392
Pierre-Auguste Renoir;Au moulin de la Galette;05.17.1990;78,100,000
Sir Peter Paul Rubens--Peter Paul Rubens;The Massacre of the Innocents;07.10.2002;76,671,280
Mark Rothko;No. 1 (Royal Red and Blue);11.13.2012;75,122,496
Mark Rothko;White center (Yellow, pink and lavender on rose);05.15.2007;72,840,000
Andy Warhol;Green Car Crash (Green Burning Car I);05.16.2007;71,720,000
Vincent van Gogh;Portrait de l′artiste sans barbe;11.19.1998;71,502,496
Amedeo Modigliani;Tête;11.04.2014;70,725,000
Francis Bacon;Portrait of George Dyer TalkingREPEAT SALE;02.13.2014;69,625,144
Andy Warhol;Four Marlons;11.12.2014;69,605,000
Cy Twombly;Untitled;11.12.2014;69,605,000
Amedeo Modigliani;Nu assis sur un divan (La belle romaine)REPEAT SALE;11.02.2010;68,962,496
Mark Rothko;Untitled;05.13.2014;66,245,000
Qi Baishi;Eagle standing on pine tree;05.22.2011;65,532,112
Edouard Manet--Édouard Manet;Le Printemps;11.05.2014;65,125,000
Andy Warhol;Men in Her Life;11.08.2010;63,362,500
Andy Warhol;Race Riot (in 4 parts)REPEAT SALE;05.13.2014;62,885,000
Wang Meng;Landscape;06.04.2011;62,118,992
Vincent van Gogh;Nature morte, vase aux marguerites et coquelicots;11.04.2014;61,765,000
Clyfford Still;1949-A-No. 1;11.09.2011;61,682,500
Paul Cézanne;Rideau, cruchon et compotier;05.10.1999;60,502,500
Kasimir Severinovich Malevich--Kazimir Severinovich Malevich;Suprematist Composition;11.03.2008;60,002,500
Jeff Koons;Balloon dog (Orange);11.12.2013;58,405,000
Jackson Pollock;Number 19REPEAT SALE;05.15.2013;58,363,752
Andy Warhol;Coca-Cola (3);11.12.2013;57,285,000
Juan Gris;Nature morte à la nappe à carreaux;02.04.2014;57,006,496
Mark Rothko;Untitled (Red, Blue, Orange)REPEAT SALE;05.15.2014;56,165,000
Roy Lichtenstein;Woman with Flowered Hat;05.15.2013;56,123,752
Pablo Picasso;Femme aux bras croisés;11.08.2000;55,006,000
Claude Monet;NymphéasREPEAT SALE;06.23.2014;53,982,180
Vincent van Gogh;Irises;11.11.1987;53,900,000
Alberto Giacometti;Grande tête mince;05.04.2010;53,282,500
Francis Bacon;Study from Innocent X;05.15.2007;52,680,000
Amedeo Modigliani;Tête;06.14.2010;52,327,264
Francis Bacon;Triptych 1974-77;02.06.2008;51,893,420
Pablo Picasso;Les Noces de Pierrette;11.30.1989;51,650,000
Pablo Picasso;Portrait d′Angel Fernández de SotoREPEAT SALE;06.23.2010;51,373,652
Mark Rothko;No. 15REPEAT SALE;05.13.2008;50,441,000
Alberto Giacometti;Grande tête mince (Grande tête de Diego);11.06.2013;50,005,000
Pablo Picasso;Femme assise dans un jardin;11.10.1999;49,502,500
Jean-Michel Basquiat;Dustheads;05.15.2013;48,843,752
Henri Matisse;Nu de dos, 4 état (Back IV);11.03.2010;48,802,500
Pablo Picasso;Le Rêve;11.10.1997;48,402,500
Raphaël--raffaello sanzio--raphael--Da Raffaello Sanzio;Head of a muse;12.08.2009;48,033,684
Raphaël--raffaello sanzio--raphael--Da Raffaello Sanzio;Head of a Young Apostle;12.05.2012;47,863,100
Pablo Picasso;Self Portrait: Yo Picasso;05.09.1989;47,850,000
;Rome (from Mount Aventine);12.03.2014;47,594,196
;Abstraktes bildREPEAT SALE;02.10.2015;46,297,640
Mark Rothko;No. 11 (Untitled)REPEAT SALE;11.12.2013;46,085,000
Norman Rockwell;Saying grace;12.04.2013;46,085,000
Henri Matisse;Les coucous, tapis bleu et rose;02.23.2009;46,055,344
Li Keran;Mountains in red;06.03.2012;46,030,324
Francis Bacon;Second Version of Study for Bullfight No. 1;11.14.2007;45,961,000
Francis Bacon;Three studies for portrait of George Dyer (on light ground) (in 3 parts);06.30.2014;45,488,328
Pablo Picasso;Nu au fauteuil noir;11.09.1999;45,102,500
;Modern Rome - Campo Vaccino;07.07.2010;45,099,024
Mark Rothko;No. 21 (Red, brown, black and orange);11.11.2014;44,965,000
Francis Bacon;Seated FigureREPEAT SALE;11.12.2014;44,965,000
Pablo Picasso;Femme assise près d�une fenêtreREPEAT SALE;02.05.2013;44,964,024
Roy Lichtenstein;Sleeping Girl;05.09.2012;44,882,500
Francis Bacon;Figure Writing Reflected in Mirror;05.09.2012;44,882,500
Georgia O′Keeffe--Georgia O'Keeffe;Jimson weed/White flower no. 1REPEAT SALE;11.20.2014;44,405,000
Barnett Newman;Onement VI;05.14.2013;43,845,000
Andy Warhol;200 one dollar billsREPEAT SALE;11.11.2009;43,762,500
Claude Monet;Nymphéas;11.07.2012;43,762,500
Andy Warhol;Statue of Liberty;11.14.2012;43,762,500
Roy Lichtenstein;I can see the whole room!... and there′s nobody in it!REPEAT SALE;11.08.2011;43,202,500
Francis Bacon;Self Portrait;06.21.2007;42,957,148
Gustav Klimt;Kirche in Cassone - Landschaft mit Zypressen (Church in Cassone - Landscape with cypresses);02.03.2010;42,944,776
Francesco Guardi;Venice, a view of the Rialto Bridge, looking north (from The Fondamenta del carbon);07.06.2011;42,913,160
Roy Lichtenstein;Ohhh...Alright...;11.10.2010;42,642,500
Amedeo Modigliani;Jeanne Hébuterne (Au chapeau)REPEAT SALE;02.06.2013;42,347,128
Xu Beihong;Cultivation on the Peaceful Land;12.05.2011;41,899,616
Paul Cézanne;Les Pommes;05.07.2013;41,605,000
Pablo Picasso;Nature morte aux tulipesREPEAT SALE;11.08.2012;41,522,500
Claude Monet;Le Pont du chemin de fer à ArgenteuilREPEAT SALE;05.06.2008;41,481,000
Andy Warhol;White Marilyn;05.13.2014;41,045,000
